0.0000,139.0000,99.0000,77.0000,356.0000,594.0000
-1.0000,9.2000,4.2000,7.6000,16.4000,17.4000
360.0000,0.0017,0.0023,0.0025,0.0048,0.0083
361.0000,0.0020,0.0025,0.0033,0.0050,0.0084
362.0000,0.0015,0.0027,0.0018,0.0052,0.0085
363.0000,0.0014,0.0033,0.0016,0.0055,0.0089
364.0000,0.0013,0.0039,0.0015,0.0059,0.0094
365.0000,0.0013,0.0043,0.0015,0.0057,0.0091
366.0000,0.0012,0.0034,0.0015,0.0054,0.0089
367.0000,0.0012,0.0036,0.0016,0.0057,0.0088
368.0000,0.0016,0.0033,0.0018,0.0055,0.0090
369.0000,0.0020,0.0031,0.0021,0.0054,0.0091
370.0000,0.0021,0.0032,0.0019,0.0054,0.0090
371.0000,0.0018,0.0033,0.0017,0.0054,0.0089
372.0000,0.0018,0.0030,0.0020,0.0054,0.0089
373.0000,0.0018,0.0028,0.0022,0.0054,0.0088
374.0000,0.0014,0.0030,0.0019,0.0054,0.0088
375.0000,0.0010,0.0031,0.0015,0.0053,0.0088
376.0000,0.0012,0.0032,0.0015,0.0052,0.0088
377.0000,0.0015,0.0033,0.0016,0.0052,0.0089
378.0000,0.0013,0.0032,0.0019,0.0050,0.0087
379.0000,0.0011,0.0032,0.0021,0.0049,0.0084
380.0000,0.0014,0.0031,0.0019,0.0048,0.0082
381.0000,0.0017,0.0031,0.0016,0.0047,0.0081
382.0000,0.0018,0.0028,0.0023,0.0044,0.0081
383.0000,0.0016,0.0022,0.0019,0.0044,0.0081
384.0000,0.0013,0.0016,0.0015,0.0044,0.0082
385.0000,0.0012,0.0020,0.0016,0.0045,0.0081
386.0000,0.0012,0.0025,0.0017,0.0045,0.0080
387.0000,0.0010,0.0029,0.0015,0.0047,0.0083
388.0000,0.0008,0.0034,0.0014,0.0048,0.0087
389.0000,0.0008,0.0034,0.0016,0.0049,0.0089
390.0000,0.0009,0.0035,0.0017,0.0048,0.0084
391.0000,0.0011,0.0036,0.0018,0.0049,0.0085
392.0000,0.0014,0.0035,0.0019,0.0050,0.0086
393.0000,0.0017,0.0029,0.0021,0.0051,0.0089
394.0000,0.0021,0.0024,0.0022,0.0051,0.0092
395.0000,0.0019,0.0029,0.0020,0.0041,0.0091
396.0000,0.0019,0.0030,0.0019,0.0045,0.0095
397.0000,0.0019,0.0031,0.0018,0.0049,0.0099
398.0000,0.0016,0.0031,0.0015,0.0050,0.0103
399.0000,0.0014,0.0031,0.0013,0.0051,0.0106
400.0000,0.0014,0.0030,0.0015,0.0049,0.0115
401.0000,0.0014,0.0028,0.0016,0.0047,0.0123
402.0000,0.0014,0.0030,0.0017,0.0046,0.0137
403.0000,0.0013,0.0032,0.0016,0.0045,0.0150
404.0000,0.0014,0.0033,0.0017,0.0045,0.0179
405.0000,0.0016,0.0031,0.0018,0.0045,0.0207
406.0000,0.0015,0.0028,0.0019,0.0045,0.0249
407.0000,0.0014,0.0025,0.0019,0.0045,0.0290
408.0000,0.0015,0.0027,0.0020,0.0042,0.0430
409.0000,0.0012,0.0029,0.0017,0.0041,0.0526
410.0000,0.0010,0.0031,0.0015,0.0041,0.0621
411.0000,0.0010,0.0032,0.0014,0.0039,0.0770
412.0000,0.0009,0.0034,0.0013,0.0037,0.0919
413.0000,0.0010,0.0033,0.0013,0.0039,0.1102
414.0000,0.0011,0.0032,0.0014,0.0042,0.1286
415.0000,0.0012,0.0031,0.0015,0.0042,0.1555
416.0000,0.0012,0.0031,0.0015,0.0042,0.1825
417.0000,0.0014,0.0032,0.0019,0.0041,0.2130
418.0000,0.0016,0.0034,0.0024,0.0040,0.2436
419.0000,0.0015,0.0032,0.0021,0.0041,0.2826
